generation,max_fitness,mean_fitness,min_fitness,std_fitness,mean_links,max_links
0,7.761078841909041,3.791711848134016,0.0,1.6935928551973944,5.766666666666667,13
1,7.761078841909041,3.9458333030783646,2.499826388888889,1.6643302843676175,5.066666666666666,10
2,7.761078841909041,4.0622058117897835,0.0,1.83988263948672,5.1,13
3,7.761078841909041,4.362795142558098,0.0,1.9304125273768324,4.566666666666666,13
4,7.861105394444311,4.459310434562139,2.499826388888889,1.9349961342924364,4.4,13
5,7.861105394444311,4.207202963689219,2.499826388888889,1.6337442262602548,5.533333333333333,27
6,7.861105394444311,4.0554197282822075,2.499826388888889,1.7137480757412173,3.7333333333333334,13
7,7.861105394444311,4.54550059420421,2.499826388888889,1.8201940982681708,4.2,10
8,8.471778919911781,5.233905166191066,2.538981908189056,1.7554303797166786,3.3666666666666667,10
9,8.471778919911781,5.764824079006172,2.499826388888889,1.363291240585648,3.4,10
10,8.471778919911781,4.875318141217407,2.499844162814075,1.805218213704765,2.8666666666666667,10
11,8.471778919911781,5.371232120381494,2.499844162814075,1.7516570197702734,2.6666666666666665,10
12,8.921129704509731,5.62389716550556,2.499844162814075,1.6970160454250245,2.7,16
13,8.921129704509731,5.186533071571103,0.0,1.9651687170328487,3.7666666666666666,21
14,8.921129704509731,5.269821848019947,2.4998385833828856,1.6882031925350032,3.2,16
15,8.921129704509731,5.631180312860109,2.500316757979534,1.3988390499411751,3.3333333333333335,19
16,8.921129704509731,5.796096203444388,0.0,1.7283603683256,2.3666666666666667,16
17,8.921129704509731,5.857787115001344,0.0,1.9295366266958922,3.3666666666666667,22
18,8.921129704509731,5.809691048374703,2.499826388888889,1.5834935579928628,2.8,16
19,8.921129704509731,6.061110293276409,2.522141338038253,1.2286190390462974,3.2,16
20,8.921129704509731,5.793978714443972,2.499826388888889,1.473756911373695,2.4,16
21,8.921129704509731,5.702619013729232,2.499826388888889,1.7282898242388125,3.0,16
22,8.921129704509731,5.825742443158118,2.655939223010224,1.3706026440918275,3.1666666666666665,16
23,8.921129704509731,6.207545549125066,2.9499047613440927,0.9744920973930168,3.1333333333333333,18
24,8.921129704509731,6.411439359449665,2.5219822581110725,0.924493640213397,2.533333333333333,16
25,8.921129704509731,5.690032525523961,0.0,1.9692476963454362,3.7,34
26,8.921129704509731,6.28929442399693,2.553373660840219,1.281232086647014,3.3333333333333335,16
27,8.921129704509731,5.86410352841946,2.4998426556091844,1.5288795354232623,2.1666666666666665,16
28,8.921129704509731,5.737753806530336,2.4998426556091844,1.5728714444600322,2.8,16
29,8.921129704509731,6.1215547403421935,2.5000471664091126,1.2523970955754355,2.1333333333333333,16
30,8.921129704509731,6.3721534087771365,2.5220228136328537,0.9163489514686014,2.2,16
31,8.921129704509731,6.31710061835536,2.499826388888889,1.3552860370664443,2.3333333333333335,16
32,8.921129704509731,6.0435245415394565,2.499826388888889,1.5133033641758038,2.566666666666667,16
33,8.921129704509731,5.718561587593612,2.499826388888889,1.763899559968435,3.8,28
34,8.921129704509731,5.591675636353733,2.5000890824555926,1.7027478638526496,4.066666666666666,28
35,8.921129704509731,5.432336498552896,2.499826388888889,1.7703588732912314,5.433333333333334,57
36,8.921129704509731,6.041533183463017,3.20005429213581,1.2399950636121133,4.566666666666666,27
37,8.921129704509731,5.97824910012677,0.0,1.890243023667084,4.066666666666666,19
38,8.921129704509731,6.2348881643113625,2.500115080655256,1.3075627849915128,2.566666666666667,16
39,8.921129704509731,6.180529596682154,2.5220887371856096,1.3067508111821893,2.9,16
