generation,max_fitness,mean_fitness,min_fitness,std_fitness,mean_links,max_links
0,7.574311153044697,3.9266778955293224,2.4998272871811196,1.39514365803113,6.266666666666667,13
1,7.822574290572465,4.043394169695337,2.499826967831117,1.6541526783258653,5.233333333333333,13
2,8.423861810122094,3.885931653900501,0.0,1.856818992021298,5.366666666666666,31
3,8.423861810122094,4.080946486301361,2.499826388888889,1.7723080639075381,4.233333333333333,14
4,8.6297788313883,3.8899977856534185,2.499826388888889,1.8680726170448991,4.066666666666666,14
5,8.703892094393435,4.2584767160365935,2.499826388888889,2.240758042676249,4.433333333333334,16
6,8.703892094393435,4.125518456462285,0.0,2.2234694453217947,3.9,22
7,8.703892094393435,4.0117186315760165,0.0,1.9720384062380725,3.7333333333333334,15
8,8.703892094393435,4.313912661030311,2.499826388888889,1.7585507588473408,3.7333333333333334,16
9,8.703892094393435,4.85868768991518,2.543954297743186,1.6072188859207839,2.2333333333333334,6
10,8.703892094393435,5.418547430139033,2.499826388888889,1.6156534007968906,2.2333333333333334,7
11,8.703892094393435,4.9404043073659505,2.499826388888889,1.3418245477380337,2.4,9
12,8.703892094393435,5.379719083174466,2.5000903921034334,1.5016472912414476,2.533333333333333,13
13,8.715072496888467,5.374031113350859,2.5000903921034334,1.7550262324335166,2.8666666666666667,16
14,8.715072496888467,5.163129342932456,2.499826388888889,1.8061635632684778,2.933333333333333,10
15,8.715072496888467,5.719357594900633,2.49984233467195,1.5075685845106186,2.8333333333333335,10
16,8.715072496888467,5.347757858224223,2.9622526430937772,1.3687125475306798,2.8666666666666667,11
17,8.715072496888467,5.27049294190537,2.499826388888889,1.5311639663108896,2.6666666666666665,10
18,8.715072496888467,5.349094593086238,2.489148721719517,1.684857719931639,2.933333333333333,7
19,8.715072496888467,5.1494274279767325,2.499826388888889,1.6420669160694912,2.6,6
20,8.715072496888467,4.844943849106195,2.499838376410404,1.7245068164532358,3.5,13
21,8.715072496888467,4.674285818354425,2.499852651764206,1.8577993294308948,2.7333333333333334,13
22,8.715072496888467,4.8265780338546245,2.499986818886066,1.513136997604103,2.2666666666666666,13
23,8.715072496888467,5.423833818470979,2.4998330197233805,1.4448897111979313,1.8,4
24,8.715072496888467,4.927348013074919,2.499826388888889,1.8695194858679551,2.2,5
25,8.715072496888467,4.727845846380714,0.0,1.9071941723219394,2.6333333333333333,5
26,8.715072496888467,5.25521476257235,2.4999354294684037,1.6935099032458119,2.1,6
27,8.715072496888467,5.957189671383271,3.6042321775332513,1.0326401837257966,1.7,5
28,8.715072496888467,5.541767435557381,2.499826388888889,1.6143851042983774,2.3333333333333335,6
29,8.715072496888467,5.38273763392606,2.500745853512253,1.800892088906112,2.6,4
30,8.715072496888467,5.726071254332411,2.49985597877345,1.5156180633013816,3.0,13
31,8.715072496888467,5.22249224643853,0.0,1.830688126357364,2.9,13
32,8.715072496888467,5.316228817430605,2.4999442919996167,1.7169663389555483,2.9,10
33,8.715072496888467,5.652476575801176,0.0,1.814626710133678,3.6333333333333333,27
34,8.715072496888467,5.812744200779138,2.499826388888889,1.5408702650967394,1.8,5
35,8.715072496888467,5.876296937538994,0.0,1.5281068116558085,2.1333333333333333,5
36,8.715072496888467,5.947773738032632,2.499826388888889,1.5302189012241167,2.3,13
37,8.715072496888467,6.0696578535387955,2.500017946463281,1.21906593832437,2.6333333333333333,13
38,8.715072496888467,6.0660917007396,2.499999978435291,1.2190661721078622,1.9666666666666666,5
39,8.715072496888467,5.9835038701209236,3.0133152117087336,1.1166106885164044,2.0,5
40,8.715072496888467,5.766022493286665,2.4999985481748315,1.3201350081837646,2.1,9
41,8.715072496888467,5.606347520098429,0.0,1.6714963614634968,2.3666666666666667,10
42,8.715072496888467,5.914282573034379,2.645541248299394,1.2565414727048503,2.6666666666666665,13
43,8.715072496888467,5.991357400969927,2.717090332881794,1.3798598387390484,3.3,14
44,8.715072496888467,5.761432976555872,2.4998912624643306,1.3832509799037498,2.7333333333333334,10
45,8.715072496888467,5.404114717831599,2.501252156398597,1.856114225245197,2.5,7
46,8.715072496888467,5.426783489388229,2.499826388888889,1.8424543852702029,2.3333333333333335,5
47,8.715072496888467,5.573045469029875,2.499826388888889,1.5589281496357879,1.9333333333333333,5
48,8.715072496888467,5.728475038278968,2.499826388888889,1.4481268384506938,1.8666666666666667,13
49,8.715072496888467,5.502380515241344,0.0,1.8618762253640555,2.033333333333333,7
